dataset,model,ablation,covered,sample_count,mean_true_label_probability,median_true_label_probability,mean_max_probability,median_max_probability,mean_probability_margin,median_probability_margin,unique_max_probability_6dp,unique_true_label_probability_6dp
unsw_nb15,random_forest,risk_aware_platt_full_b0.01_a0.001,0,112025,0.05579242035064095,0.040259638491791,0.944207579649359,0.9597403615082092,0.8884151592987181,0.9194807230164181,647,647
unsw_nb15,random_forest,risk_aware_platt_full_b0.01_a0.001,1,299635,0.7850462799381699,0.999325040248586,0.9230248146307336,0.999325040248586,0.8460496292614671,0.9986500804971722,1062,1428
unsw_nb15,xgboost,full,0,184545,0.018296955034767068,0.0003835826620636,0.9817030449652329,0.9996164173379364,0.9634060899304658,0.9992328346758728,43,43
unsw_nb15,xgboost,full,1,227115,0.9632583903232487,0.9997339953892534,0.9705878468600164,0.9997339953892534,0.941175693720033,0.9994679907785069,48,53
unsw_nb15,xgboost,platt_full,0,187901,0.027261778429544435,2.4898781413266004e-05,0.9728427928859877,0.9999751012185868,0.9456855857719757,0.9999502024371735,35191,35192
unsw_nb15,xgboost,platt_full,1,223759,0.9710959847654778,0.9999997997911448,0.9729722785820958,0.9999997997911448,0.9459445571641913,0.9999995995822896,23234,23294
unsw_nb15,xgboost,risk_aware_full_b0.01_a0.001,0,179483,0.015193442984580564,0.0003835826620636,0.9848065570154193,0.9996164173379364,0.9696131140308387,0.9992328346758728,28,28
unsw_nb15,xgboost,risk_aware_full_b0.01_a0.001,1,232177,0.9450551784111011,0.99973285841496,0.9684310332200132,0.99973285841496,0.9368620664400265,0.9994657168299199,48,68
unsw_nb15,xgboost,risk_aware_platt_full_b0.01_a0.001,0,186236,0.025099308154144736,2.4898781413266004e-05,0.9749006918458554,0.9999751012185868,0.9498013836917105,0.9999502024371735,34443,34443
unsw_nb15,xgboost,risk_aware_platt_full_b0.01_a0.001,1,225424,0.9659112921890886,0.9999997926355824,0.9712711710497394,0.9999997926355824,0.9425423420994788,0.9999995852711646,23977,24051
